adult,movie_id,original_language,popularity,revenue,runtime,status,title,vote_average,vote_count,genre,lang,company_name,movie_country,release_year
False,1084199,en,168.771,0,97,Released,Companion,7.7,10,Horror,English,BoulderLight Pictures,US,2025
False,645757,en,168.698,0,91,Released,That Christmas,7.134,314,Animation,English,Locksmith Animation,GB,2024
False,1114513,en,167.825,76756109,110,Released,Speak No Evil,7.272,1215,Horror,English,Blumhouse Productions,US,2024
False,917496,en,166.475,451100435,105,Released,Beetlejuice Beetlejuice,7.088,2233,Comedy,English,Warner Bros. Pictures,US,2024
False,82023,de,166.268,0,38,Released,Hotel Desire,6.0,115,Drama,German,Von Fiessbach Film,DE,2011
False,1014505,ja,165.917,7614966,134,Released,OVERLORD: The Sacred Kingdom,7.7,34,Action,Japanese,KADOKAWA,JP,2024
False,1226578,en,165.885,126942386,101,Released,Longlegs,6.616,1704,Crime,English,C2 Motion Picture Group,US,2024
False,335983,en,165.504,856085151,112,Released,Venom,6.83,16292,Science Fiction,Mandarin,Matt Tolmach Productions,US,2018
False,76600,en,164.714,2320250281,192,Released,Avatar: The Way of Water,7.6,12172,Science Fiction,English,20th Century Studios,US,2022
False,1262471,id,163.671,0,104,Released,Laura,5.4,7,Drama,Indonesian,MD Pictures,ID,2024
False,238,en,163.489,245066411,175,Released,The Godfather,8.689,20937,Drama,English,Paramount Pictures,US,1972
False,361743,en,162.57,1488732821,131,Released,Top Gun: Maverick,8.2,9484,Action,English,Skydance Media,US,2022
False,155,en,162.183,1004558444,152,Released,The Dark Knight,8.519,33291,Drama,English,DC,US,2008
False,24428,en,161.537,1518815515,143,Released,The Avengers,7.727,31100,Science Fiction,English,Marvel Studios,US,2012
False,808,en,160.023,488628188,90,Released,Shrek,7.745,17316,Animation,English,Pacific Data Images,US,2001
False,50270,it,158.926,0,116,Released,Paprika,7.0,466,Drama,Italian,San Francisco Film,IT,1991
False,396535,ko,158.919,87547518,118,Released,Train to Busan,7.8,7561,Horror,Korean,Next Entertainment World,KR,2016
False,718821,en,157.965,370962265,123,Released,Twisters,6.89,2131,Thriller,English,Universal Pictures,US,2024
False,365177,en,157.521,32978510,101,Released,Borderlands,5.745,975,Action,English,Lionsgate,US,2024
False,975511,en,157.048,361507,116,Released,The Return,6.75,98,History,English,Picomedia,FR,2024
False,872585,en,157.035,952000000,181,Released,Oppenheimer,8.073,9712,Drama,Dutch,Syncopy,US,2023
False,1061699,en,156.867,0,130,Released,The Six Triple Eight,7.741,355,Drama,English,Tyler Perry Studios,US,2024
False,1154304,es,156.639,7478666,83,Released,Buffalo Kids,6.8,20,Animation,Spanish,4 Cats Pictures,ES,2024
False,8587,en,155.952,763455561,89,Released,The Lion King,8.256,18489,Family,English,Walt Disney Pictures,US,1994
False,315162,en,155.659,484700000,103,Released,Puss in Boots: The Last Wish,8.2,7964,Animation,English,DreamWorks Animation,US,2022
False,1159311,ja,155.625,32224616,110,Released,My Hero Academia: You're Next,6.7,79,Animation,Japanese,BONES,JP,2024
False,121,en,155.446,926287400,179,Released,The Lord of the Rings: The Two Towers,8.4,22141,Adventure,English,New Line Cinema,US,2002
False,822119,en,154.574,0,118,Post Production,Captain America: Brave New World,0.0,0,Action,English,Marvel Studios,US,2025
False,516729,en,153.341,56371925,106,Released,Paddington in Peru,7.1,52,Comedy,English,Marmalade Pictures,GB,2024
False,588648,zh,152.73,6206231,99,Released,Dragonkeeper,7.6,167,Animation,Spanish,Movistar+,CN,2024
False,616446,en,150.374,0,89,Released,Brothers,6.04,238,Action,English,Mad Chance,US,2024
False,662402,zh,149.43,0,111,Released,Black Tea,6.0,30,Romance,Mandarin,Archipel 33>35,CI,2024
False,1023915,en,149.193,7125,83,Released,2073,7.0,32,Thriller,English,NEON,GB,2024
False,1124641,en,147.751,0,105,Released,Classified,5.681,113,Action,English,Film Bridge International,US,2024
False,845659,en,147.47,0,97,Released,Perfect Addiction,6.773,293,Drama,English,Constantin Film,DE,2023
False,969492,en,147.209,7021101,113,Released,Land of Bad,7.2,1192,Action,English,Broken Open Pictures,AU,2024
False,2062,en,146.184,623726000,111,Released,Ratatouille,7.825,17213,Animation,French,Pixar,US,2007
False,414906,en,145.951,772319315,177,Released,The Batman,7.661,10572,Crime,English,6th & Idaho Motion Picture Company,US,2022
False,1079485,en,145.818,7582541,93,Released,Winnie-the-Pooh: Blood and Honey 2,6.0,325,Horror,English,Jagged Edge Productions,GB,2024
False,1154223,fr,145.513,0,109,Released,Hunting With Tigers,6.1,60,Action,French,Cheyenne Federation,FR,2024
False,1221404,ja,144.873,21478573,106,Released,Crayon Shinchan the Movie: Our Dinosaur Diary,8.0,4,Animation,Japanese,Shin-Ei Animation,JP,2024
False,674,en,144.716,895921036,157,Released,Harry Potter and the Goblet of Fire,7.8,20889,Adventure,English,Warner Bros. Pictures,GB,2005
False,438631,en,144.24,407573628,155,Released,Dune,7.786,13055,Science Fiction,Mandarin,Legendary Pictures,US,2021
False,19995,en,143.977,2923706026,162,Released,Avatar,7.584,31794,Action,English,Dune Entertainment,US,2009
False,575264,en,143.831,567535383,164,Released,Mission: Impossible - Dead Reckoning Part One,7.54,3968,Action,French,Paramount Pictures,US,2023
False,138843,en,143.578,320415166,112,Released,The Conjuring,7.539,11640,Horror,English,Evergreen Media Group,US,2013
False,507086,en,143.564,1001978080,147,Released,Jurassic World Dominion,6.685,6196,Adventure,English,Amblin Entertainment,US,2022
False,370663,en,143.427,33673,92,Released,Below Her Mouth,6.8,1196,Drama,English,Serendipity Point Films,CA,2017
False,862,en,143.359,394436586,81,Released,Toy Story,7.97,18551,Animation,English,Pixar,US,1995
False,843527,en,143.188,36178,116,Released,The Idea of You,7.41,1578,Romance,English,Welle Entertainment,US,2024
False,580489,en,142.169,506863592,97,Released,Venom: Let There Be Carnage,6.786,10435,Science Fiction,Spanish,Columbia Pictures,US,2021
False,926393,en,141.646,190000000,109,Released,The Equalizer 3,7.322,3106,Action,English,Columbia Pictures,US,2023
False,1389038,en,141.447,0,22,Released,Mickey and the Very Many Christmases,6.0,12,Animation,English,Disney Television Animation,US,2024
False,22,en,141.172,655011224,143,Released,Pirates of the Caribbean: The Curse of the Black Pearl,7.8,20809,Adventure,English,Walt Disney Pictures,US,2003
False,1087822,en,140.745,2014050,100,Released,Hellboy: The Crooked Man,5.2,343,Fantasy,English,Dark Horse Entertainment,US,2024
False,1215162,en,140.123,0,85,Released,Kill 'em All 2,6.644,135,Action,Ido,Iervolino & Lady Bacardi Entertainment,US,2024
False,829560,pl,139.889,0,112,Released,The Next 365 Days,6.383,1142,Romance,English,Ekipa,PL,2022
False,1328814,en,139.736,0,89,Released,Amityville: Where the Echo Lives,5.292,12,Horror,English,Ghost Box Productions,US,2024
False,974262,en,139.611,0,92,Released,Descendants: The Rise of Red,6.869,389,Fantasy,English,Suzanne Todd Productions,US,2024
False,972614,en,139.095,0,114,Released,Knox Goes Away,6.96,328,Action,English,Brookstreet Pictures,US,2024
False,177572,en,138.959,657870525,102,Released,Big Hero 6,7.7,15713,Adventure,English,Walt Disney Pictures,US,2014
False,818647,es,138.54,0,112,Released,Through My Window,7.38,3172,Romance,Spanish,Nostromo Pictures,ES,2022
